id,sourceRef,som_bmu_row,som_bmu_col,som_bmu_distance,cluster_size,cluster_avg_reward,reward_avg,reward_count,reward_rank
04c0ad5d7822d926,,,6,0.829118,,,,0,180
04c4d90bb8f8c7d1,,,5,1.045867,,,,0,181
04c6160442547efb,,8,18,0.883216,19,,,0,182
04d0d4b7cde00939,,,14,1.006088,,,,0,183
04d221fed2e1043f,,,5,1.11868,,,,0,184
04d791ea740d5b0a,,6,16,1.013878,4,,,0,185
04db420d8ba99288,,,,0.88547,,,,0,186
04e718be5af03b1d,,6,15,1.052238,11,,,0,187
04eb24394995dd6a,,6,7,0.875177,8,,,0,188
04ee4ff3c992daec,,6,8,0.98307,3,,,0,189
0508f90968fbe9db,,19,6,0.986109,170,,,0,190
0509751baf2a0190,,19,6,0.839667,170,,,0,191
051ffb686fcffc0f,docs\documents-atlas-index.md#chunk-360,13,,0.971025,,,,0,192
052137b6ec09464b,docs\documents-atlas-index.md#chunk-1139,16,9,0.921417,18,,,0,193
05250dc8f40383f5,,18,10,0.89038,57,,,0,194
052d2ee3ad5c295e,,14,3,0.913964,11,,,0,195
053cab5faf25f0f7,,18,6,1.080878,26,,,0,196
0544214fb38fcf9a,,19,8,0.942652,183,,,0,197
054729cd34017f3e,,10,19,0.872163,49,,,0,198
054b73931c0bf374,docs\documents-atlas-index.md#chunk-808,19,6,0.879067,170,,,0,199
0556d469083645d7,,9,19,0.830858,70,,,0,200
055bafc6e978f31d,docs\documents-atlas-index.md#chunk-868,15,9,0.922291,23,,,0,201
055de8d46baffa85,,17,,0.964591,,,,0,202
0566387d5eff8880,,19,5,0.981817,196,,,0,203
05714f67afff10e9,,16,4,0.932037,5,,,0,204
058cf870fc1acd74,,18,3,0.876394,25,,,0,205
05913a2dd06a77dd,,14,8,0.997552,7,,,0,206
0599b10c08506da8,,10,19,0.781766,49,,,0,207
05a0fbf9f7cde6bb,,12,8,1.108244,7,,,0,208
05ab0ae1637b9694,,4,2,0.953965,16,,,0,209
05b2f5ac9c1b7c79,,,16,0.991382,,,,0,210
05bb62e8302a684e,,,19,1.074631,,,,0,211
05bcbb072f3dd81a,,9,,1.061324,,,,0,212
05c43bf3349e47ee,,,,1.024334,,,,0,213
05cd8b714b55f3bb,,,1,0.964973,,,,0,214
05d1b5a92a1ff72c,,,17,0.916116,,,,0,215
05d994fd4596e79f,,,15,0.903488,,,,0,216
05e231e99ef3f457,,,5,0.978123,,,,0,217
05e4b943b719a6d0,,,7,0.937581,,,,0,218
05e59657ea3db16b,,,2,0.907381,,,,0,219
05f4961864314ada,,8,18,0.772431,19,,,0,220
05f5056aa6669196,,,3,0.775656,,,,0,221
05f6831a5fbbd1ea,docs\documents-atlas-index.md#chunk-1014,,,1.072593,,,,0,222
05f9f5d9f767ea6d,,,14,0.775872,,,,0,223
05fce994c47c773b,,10,5,0.891834,5,,,0,224
0609237b0d9504f5,,13,18,0.905662,18,,,0,225
06173fb4ef93cc2c,,12,7,0.944986,7,,,0,226
061760922cce4bc8,docs\documents-atlas-index.md#chunk-1006,19,2,0.926787,48,,,0,227
061c2d86d51f4b19,,19,1,0.756556,75,,,0,228
061ec4f440ad977a,,19,3,0.996401,52,,,0,229
061effad255ce2cf,,19,5,1.170697,196,,,0,230
06221c22dbb3b924,,14,8,0.915632,7,,,0,231
0629d0e5f60c1262,,19,6,0.902532,170,,,0,232
06306d4392a3a488,,18,10,0.85757,57,,,0,233
064465cdbce86dce,,12,19,0.949075,84,,,0,234
064e620ccaa385f5,,19,10,1.021383,64,,,0,235
0654f0007e37c96f,,6,18,0.820348,7,,,0,236
066592ecd06549c2,,18,12,0.915709,53,,,0,237
0667d02616adcd93,,10,13,0.913502,65,,,0,238
067f03d74265c4b5,,19,12,0.845613,127,,,0,239
068120390fa0fc3d,,10,15,0.942813,33,,,0,240
0693f8500cbd6430,,19,5,0.89826,196,,,0,241
069c52abdfe2f54d,,16,10,1.0844,101,,,0,242
069f33a2b9dd5049,,17,8,0.893925,14,,,0,243
06a8be201ba5128c,,5,,0.912916,,,,0,244
06aa93b33e7fe13f,,,15,1.033461,,,,0,245
06ae29bfcd287bad,,7,5,1.057737,11,,,0,246
06b63170971c16e8,,,,0.885743,,,,0,247
06bef17916220496,,,17,0.949137,,,,0,248
06c9468d84538033,,,2,0.739262,,,,0,249
06ce08b9051d7178,,,,1.009617,,,,0,250
06db98ad2bb5f38f,,,15,1.065211,,,,0,251
06e6f87760239499,,3,18,0.771257,14,,,0,252
06ed075d405b1ca8,,4,,1.026786,,,,0,253
06f419cac345e1a7,,,6,1.040437,,,,0,254
06ff6c20443e8957,,4,,0.811402,,,,0,255
070025b3d97fb492,,19,8,0.810278,183,,,0,256
0708595c0015dc9b,,11,15,0.846198,26,,,0,257
070f0047be8bf8f3,,19,8,0.94014,183,,,0,258
071419c3faf5f7b1,,18,10,0.968223,57,,,0,259
07161c04dc171bb0,,15,5,0.955589,14,,,0,260
071a8566467fedb7,,19,2,0.827008,48,,,0,261
071aeea2b4e8116e,,12,,0.926554,,,,0,262
072f85c4c0c2ec73,,16,10,0.964588,101,,,0,263
07374f73fca5209d,,8,,0.913877,,,,0,264
073a51f749b16299,,18,12,0.835264,53,,,0,265
073d066ac3e976c1,,19,11,0.920284,51,,,0,266
0740b5c0aeb07a39,,9,14,0.975355,22,,,0,267
0741f028bb282f11,docs\documents-atlas-index.md#chunk-397,7,17,0.872971,13,,,0,268
07434a92a7280f6a,,9,6,0.777931,5,,,0,269
0746ef4043c997cd,,11,15,1.001748,26,,,0,270
076ae5cfea2f68a5,,19,5,0.999861,196,,,0,271
076f1ec3bdc925b7,,12,,0.934751,,,,0,272
077053a7ab52d00e,,18,10,0.880948,57,,,0,273
07734b9c80bfd70b,,15,9,0.994425,23,,,0,274
077c04205fbf3810,,19,3,0.963109,52,,,0,275
077c96c2d6b0efeb,,16,12,0.993209,12,,,0,276
0785fec690c7270a,,10,13,0.95026,65,,,0,277
0788c0b9a948cc18,,6,14,0.829007,11,,,0,278
079437f0d916d9f3,,18,10,0.856253,57,,,0,279
07958de568d73607,,13,10,0.918336,19,,,0,280
0795d80b627a4210,,19,5,0.865172,196,,,0,281
07b28423efe87a6c,,7,6,0.873443,7,,,0,282
07b82b7941a15d32,,4,2,0.723155,16,,,0,283
07bf860eb4f477a6,,5,1,1.007366,15,,,0,284
07c1d1f8c82336ab,,6,19,0.94409,38,,,0,285
07c292d3ed527a53,,,9,0.802309,,,,0,286
07c61b776ecd3fc6,,1,,0.879008,,,,0,287
07c9d9a3816ab43c,,,17,0.951622,,,,0,288
07cd4ba9f32c91d1,,9,4,1.08065,12,,,0,289
07d7d8e5161e44a9,,19,5,1.017815,196,,,0,290
07d8f913f8dfddd6,docs\documents-atlas-index.md#chunk-1165,19,2,1.062657,48,,,0,291
07e7272d3adebe7f,,,,0.971919,,,,0,292
07e7aef228c3ffda,,,16,1.012549,,,,0,293
07ea0c508a1beae6,docs\documents-atlas-index.md#chunk-327,2,,0.934901,,,,0,294
07f206acf7019255,,,6,0.912346,,,,0,295
07f2072a5e6596b9,,,,0.710723,,,,0,296
07f3e19f15ec88fb,,10,19,1.006887,49,,,0,297
0801d80cbdb33641,,10,16,1.0663,18,,,0,298
08047446ec2d02b8,,19,6,0.870585,170,,,0,299
08081ed9366df3f4,docs\documents-atlas-index.md#chunk-702,18,10,0.927565,57,,,0,300
080ee60099d72133,,17,3,0.967766,25,,,0,301
08183445e7be778b,,19,8,0.882123,183,,,0,302
082ca53da734c842,,19,8,0.932829,183,,,0,303
083d6bd814f49a59,,13,10,0.952275,19,,,0,304
083e26d2cfe5f2f0,,18,10,1.053014,57,,,0,305
084583552fa0535b,docs\CODEBASE_INDEXING_PIPELINE.md#chunk-2,11,18,0.885748,30,,,0,306
084b96a3299aa080,docs\documents-atlas-index.md#chunk-182,19,9,0.807323,88,,,0,307
085ab229893853e1,,19,6,0.901339,170,,,0,308
085cea915b6afbe5,,18,1,0.8073,11,,,0,309
0861834e1692eae4,,12,16,0.91261,30,,,0,310
086ac9a263e750fb,,15,16,0.949257,22,,,0,311
086faf5c12e712a1,,8,,1.050594,,,,0,312
0871c6e841964ac0,,9,18,0.818675,27,,,0,313
087a30924a38c185,docs\documents-atlas-index.md#chunk-852,19,9,0.804285,88,,,0,314
087e0fac6b44922b,,16,10,1.011659,101,,,0,315
0881a26cc554bfd7,,10,17,0.880343,23,,,0,316
08846510787dd38c,,19,8,0.829438,183,,,0,317
089064da63695562,,18,12,0.953507,53,,,0,318
0892c1c8d02daacc,,9,18,1.0105,27,,,0,319
0894feec6574a16e,docs\documents-atlas-index.md#chunk-1283,8,14,1.059076,18,,,0,320
08a4c83677eb58ab,,8,18,0.979049,19,,,0,321
08a7de233400b740,,,12,0.890453,,,,0,322
08b47366dd8bec6f,,3,8,0.923262,5,,,0,323
08b83bbeab3d7519,docs\documents-atlas-index.md#chunk-1263,1,3,0.951008,5,,,0,324
08c58f7b339466f3,,,,0.840516,,,,0,325
08d56597c7a25f9d,,8,7,0.727805,6,,,0,326
08d90b1a5f8275de,,,,0.862652,,,,0,327
08e162dd4e16a18a,,,15,1.014363,,,,0,328
08e601345a77b72b,docs\documents-atlas-index.md#chunk-1194,,1,0.810596,,,,0,329
08e82543d5c3dbe7,,,6,0.940136,,,,0,330
08eb46f902702fe5,,8,11,1.027074,2,,,0,331
08eb6b6b14f371ef,,4,,0.955959,,,,0,332
08ec468452dcedfd,,11,10,1.06741,14,,,0,333
08ec7290ee5a83f3,,18,3,0.98795,25,,,0,334
08f0a3adb7b01c18,,6,14,0.962709,11,,,0,335
08fb6bc427aa8982,,6,,0.919315,,,,0,336
0915a4d50ff655d8,,11,18,0.952769,30,,,0,337
091d407ca92de9d7,,19,8,0.945671,183,,,0,338
092738d9cb84a567,,18,10,0.778702,57,,,0,339
0928e79d24198bda,docs\documents-atlas-index.md#chunk-40,10,19,0.669309,49,,,0,340
